============================================================
Training for Load = 48 Erlangs
============================================================
state_size = 402 action_size = 810
Episode 1 | Load = 48.0 Erlangs
Episode 13 | Load = 120.0 Erlangs
[offline] ep  13 | BP=0.1333 frag=0.3576 util=0.0670 QKD=0.8667 R=0.733
Episode 14 | Load = 120.0 Erlangs
[offline] ep  14 | BP=0.1087 frag=0.3445 util=0.0643 QKD=0.8913 R=0.783
Episode 15 | Load = 120.0 Erlangs
[offline] ep  15 | BP=0.1107 frag=0.3477 util=0.0645 QKD=0.8893 R=0.779
Episode 16 | Load = 120.0 Erlangs
[offline] ep  16 | BP=0.1173 frag=0.3539 util=0.0654 QKD=0.8827 R=0.765
Episode 17 | Load = 120.0 Erlangs
[offline] ep  17 | BP=0.1413 frag=0.3594 util=0.0679 QKD=0.8587 R=0.717
Episode 18 | Load = 120.0 Erlangs
[offline] ep  18 | BP=0.1207 frag=0.3577 util=0.0669 QKD=0.8793 R=0.759
Episode 19 | Load = 120.0 Erlangs
[offline] ep  19 | BP=0.1167 frag=0.3337 util=0.0655 QKD=0.8833 R=0.767
Episode 20 | Load = 120.0 Erlangs
[offline] ep  20 | BP=0.1293 frag=0.3437 util=0.0653 QKD=0.8707 R=0.741
Episode 21 | Load = 120.0 Erlangs
[offline] ep  21 | BP=0.1247 frag=0.3474 util=0.0645 QKD=0.8753 R=0.751
Episode 22 | Load = 120.0 Erlangs
[offline] ep  22 | BP=0.1087 frag=0.3362 util=0.0639 QKD=0.8913 R=0.783
Episode 23 | Load = 120.0 Erlangs
[offline] ep  23 | BP=0.1373 frag=0.3686 util=0.0692 QKD=0.8627 R=0.725
Episode 24 | Load = 120.0 Erlangs
[offline] ep  24 | BP=0.1433 frag=0.3430 util=0.0684 QKD=0.8567 R=0.713
Episode 25 | Load = 120.0 Erlangs
[offline] ep  25 | BP=0.1207 frag=0.3419 util=0.0652 QKD=0.8793 R=0.759
Episode 26 | Load = 120.0 Erlangs
[offline] ep  26 | BP=0.1187 frag=0.3757 util=0.0693 QKD=0.8813 R=0.763
Episode 27 | Load = 120.0 Erlangs
[offline] ep  27 | BP=0.1280 frag=0.3547 util=0.0668 QKD=0.8720 R=0.744
Episode 28 | Load = 120.0 Erlangs
[offline] ep  28 | BP=0.1187 frag=0.3486 util=0.0666 QKD=0.8813 R=0.763
Episode 29 | Load = 120.0 Erlangs
[offline] ep  29 | BP=0.1153 frag=0.3437 util=0.0662 QKD=0.8847 R=0.769
Episode 30 | Load = 120.0 Erlangs
[offline] ep  30 | BP=0.1320 frag=0.3635 util=0.0681 QKD=0.8680 R=0.736
[online] ep   1 | BP=0.1300 frag=0.3623 util=0.0687 QKD=0.8700 R=0.740
[online] ep   2 | BP=0.1307 frag=0.3484 util=0.0658 QKD=0.8693 R=0.739
[online] ep   3 | BP=0.1140 frag=0.3418 util=0.0641 QKD=0.8860 R=0.772
[online] ep   4 | BP=0.1353 frag=0.3438 util=0.0678 QKD=0.8647 R=0.729
[online] ep   5 | BP=0.1340 frag=0.3515 util=0.0674 QKD=0.8660 R=0.732
[online] ep   6 | BP=0.1180 frag=0.3440 util=0.0669 QKD=0.8820 R=0.764
[online] ep   7 | BP=0.1220 frag=0.3564 util=0.0681 QKD=0.8780 R=0.756
[online] ep   8 | BP=0.1213 frag=0.3524 util=0.0672 QKD=0.8787 R=0.757
[online] ep   9 | BP=0.1353 frag=0.3438 util=0.0664 QKD=0.8647 R=0.729
[online] ep  10 | BP=0.1160 frag=0.3591 util=0.0678 QKD=0.8840 R=0.768
[eval] ep   1 | BP=0.1167 frag=0.3449 util=0.0676 QKD=0.8833 R=0.767
[eval] ep   2 | BP=0.1247 frag=0.3508 util=0.0653 QKD=0.8753 R=0.751
[eval] ep   3 | BP=0.1167 frag=0.3341 util=0.0657 QKD=0.8833 R=0.767
[eval] ep   4 | BP=0.1367 frag=0.3628 util=0.0692 QKD=0.8633 R=0.727
[eval] ep   5 | BP=0.1287 frag=0.3700 util=0.0689 QKD=0.8713 R=0.743


============================================================
Training for Load = 150 Erlangs
============================================================
state_size = 402 action_size = 810
Episode 1 | Load = 150.0 Erlangs
[offline] ep   1 | BP=0.1707 frag=0.4000 util=0.0758 QKD=0.8293 R=0.659
Episode 2 | Load = 150.0 Erlangs
[offline] ep   2 | BP=0.1653 frag=0.3933 util=0.0743 QKD=0.8347 R=0.669
Episode 3 | Load = 150.0 Erlangs
[offline] ep   3 | BP=0.1693 frag=0.3758 util=0.0725 QKD=0.8307 R=0.661
Episode 4 | Load = 150.0 Erlangs
[offline] ep   4 | BP=0.1807 frag=0.3983 util=0.0758 QKD=0.8193 R=0.639
Episode 5 | Load = 150.0 Erlangs
[offline] ep   5 | BP=0.1740 frag=0.3812 util=0.0730 QKD=0.8260 R=0.652
Episode 6 | Load = 150.0 Erlangs
[offline] ep   6 | BP=0.1813 frag=0.3840 util=0.0730 QKD=0.8187 R=0.637
Episode 7 | Load = 150.0 Erlangs
[offline] ep   7 | BP=0.1940 frag=0.4080 util=0.0743 QKD=0.8060 R=0.612
Episode 8 | Load = 150.0 Erlangs
[offline] ep   8 | BP=0.1847 frag=0.3871 util=0.0751 QKD=0.8153 R=0.631
Episode 9 | Load = 150.0 Erlangs
[offline] ep   9 | BP=0.1813 frag=0.3860 util=0.0763 QKD=0.8187 R=0.637
Episode 10 | Load = 150.0 Erlangs
[offline] ep  10 | BP=0.1673 frag=0.3884 util=0.0722 QKD=0.8327 R=0.665
Episode 11 | Load = 150.0 Erlangs
[offline] ep  11 | BP=0.1920 frag=0.3898 util=0.0762 QKD=0.8080 R=0.616
Episode 12 | Load = 150.0 Erlangs
[offline] ep  12 | BP=0.1873 frag=0.3765 util=0.0750 QKD=0.8127 R=0.625
Episode 13 | Load = 150.0 Erlangs
[offline] ep  13 | BP=0.1713 frag=0.3940 util=0.0748 QKD=0.8287 R=0.657
Episode 14 | Load = 150.0 Erlangs
[offline] ep  14 | BP=0.1613 frag=0.3770 util=0.0715 QKD=0.8387 R=0.677
Episode 15 | Load = 150.0 Erlangs
[offline] ep  15 | BP=0.1700 frag=0.3807 util=0.0727 QKD=0.8300 R=0.660
Episode 16 | Load = 150.0 Erlangs
[offline] ep  16 | BP=0.1587 frag=0.3894 util=0.0727 QKD=0.8413 R=0.683
Episode 17 | Load = 150.0 Erlangs
[offline] ep  17 | BP=0.1920 frag=0.4026 util=0.0763 QKD=0.8080 R=0.616
Episode 18 | Load = 150.0 Erlangs
[offline] ep  18 | BP=0.1760 frag=0.3859 util=0.0740 QKD=0.8240 R=0.648
Episode 19 | Load = 150.0 Erlangs
[offline] ep  19 | BP=0.1753 frag=0.3930 util=0.0743 QKD=0.8247 R=0.649
Episode 20 | Load = 150.0 Erlangs
[offline] ep  20 | BP=0.1833 frag=0.3965 util=0.0754 QKD=0.8167 R=0.633
Episode 21 | Load = 150.0 Erlangs
[offline] ep  21 | BP=0.1733 frag=0.3869 util=0.0716 QKD=0.8267 R=0.653
Episode 22 | Load = 150.0 Erlangs
[offline] ep  22 | BP=0.1607 frag=0.3729 util=0.0708 QKD=0.8393 R=0.679
Episode 23 | Load = 150.0 Erlangs
[offline] ep  23 | BP=0.1813 frag=0.4032 util=0.0787 QKD=0.8187 R=0.637
Episode 24 | Load = 150.0 Erlangs
[offline] ep  24 | BP=0.1953 frag=0.3827 util=0.0745 QKD=0.8047 R=0.609
Episode 25 | Load = 150.0 Erlangs
[offline] ep  25 | BP=0.1800 frag=0.3580 util=0.0728 QKD=0.8200 R=0.640
Episode 26 | Load = 150.0 Erlangs
[offline] ep  26 | BP=0.1773 frag=0.3958 util=0.0787 QKD=0.8227 R=0.645
Episode 27 | Load = 150.0 Erlangs
[offline] ep  27 | BP=0.1873 frag=0.4087 util=0.0746 QKD=0.8127 R=0.625
Episode 28 | Load = 150.0 Erlangs
[offline] ep  28 | BP=0.1673 frag=0.3783 util=0.0752 QKD=0.8327 R=0.665
Episode 29 | Load = 150.0 Erlangs
[offline] ep  29 | BP=0.1640 frag=0.3696 util=0.0752 QKD=0.8360 R=0.672
Episode 30 | Load = 150.0 Erlangs
[offline] ep  30 | BP=0.1940 frag=0.3927 util=0.0752 QKD=0.8060 R=0.612
[online] ep   1 | BP=0.1860 frag=0.4004 util=0.0768 QKD=0.8140 R=0.628
[online] ep   2 | BP=0.1727 frag=0.3893 util=0.0738 QKD=0.8273 R=0.655
[online] ep   3 | BP=0.1453 frag=0.3904 util=0.0735 QKD=0.8547 R=0.709
[online] ep   4 | BP=0.1833 frag=0.3916 util=0.0737 QKD=0.8167 R=0.633
[online] ep   5 | BP=0.1807 frag=0.3853 util=0.0744 QKD=0.8193 R=0.639
[online] ep   6 | BP=0.1587 frag=0.3885 util=0.0738 QKD=0.8413 R=0.683
[online] ep   7 | BP=0.1813 frag=0.4002 util=0.0746 QKD=0.8187 R=0.637
