load,phase,episode,blocking_probability,fragmentation,utilisation,qkd_success_rate,mean_reward,blocked_route,blocked_qc,blocked_cc,blocked_dc,blocked_combination
120,eval,4,0.042666666666666665,0.4530966954594949,0.07969123578226554,0.9573333333333334,0.9146666666666666,0.0,0.0,0.0,0.042666666666666665,0.0
120,eval,5,0.036,0.434370512947904,0.07883735784539726,0.964,0.928,0.0,0.0,0.0,0.036,0.0
150,offline,1,0.076,0.4710916195304702,0.08555700857784192,0.924,0.848,0.0,0.0,0.0,0.076,0.0
150,offline,2,0.08733333333333333,0.46954621613203834,0.08448290773881989,0.9126666666666666,0.8253333333333334,0.0,0.0,0.0,0.08733333333333333,0.0
150,offline,3,0.068,0.47183006023311286,0.0840611960538865,0.932,0.864,0.0,0.0,0.0,0.068,0.0
150,offline,4,0.08333333333333333,0.4871844805529492,0.08646861111111112,0.9166666666666666,0.8333333333333334,0.0,0.0,0.0,0.08333333333333333,0.0
150,offline,5,0.08066666666666666,0.4695817982570075,0.083929389755056,0.9193333333333333,0.8386666666666667,0.0,0.0,0.0,0.08066666666666666,0.0
150,offline,6,0.076,0.4741773553164143,0.08355167498396665,0.924,0.848,0.0,0.0,0.0,0.076,0.0
150,offline,7,0.09533333333333334,0.48109092818276955,0.08559782608695653,0.9046666666666666,0.8093333333333333,0.0,0.0,0.0,0.09533333333333334,0.0
150,offline,8,0.07666666666666666,0.477479073340752,0.08512690533493783,0.9233333333333333,0.8466666666666667,0.0,0.0,0.0,0.07666666666666666,0.0
150,offline,9,0.086,0.49492577129299975,0.08790200279601265,0.914,0.828,0.0,0.0,0.0,0.086,0.0
150,offline,10,0.06733333333333333,0.45393633561805363,0.08422990628226511,0.9326666666666666,0.8653333333333333,0.0,0.0,0.0,0.06666666666666667,0.0006666666666666666
150,online,1,0.07866666666666666,0.48202274307621124,0.0858632693158064,0.9213333333333333,0.8426666666666667,0.0,0.0,0.0,0.07866666666666666,0.0
150,online,2,0.08466666666666667,0.473001191698386,0.085488930869143,0.9153333333333333,0.8306666666666667,0.0,0.0,0.0,0.08466666666666667,0.0
150,online,3,0.05733333333333333,0.4742124511415793,0.08222088391874902,0.9426666666666667,0.8853333333333333,0.0,0.0,0.0,0.05733333333333333,0.0
150,online,4,0.07466666666666667,0.4732472330617491,0.08626006894412423,0.9253333333333333,0.8506666666666667,0.0,0.0,0.0,0.07466666666666667,0.0
150,online,5,0.08266666666666667,0.4812871559365268,0.0853020782864987,0.9173333333333333,0.8346666666666667,0.0,0.0,0.0,0.082,0.0006666666666666666
150,online,6,0.06466666666666666,0.4779003105914687,0.08369266997307358,0.9353333333333333,0.8706666666666667,0.0,0.0,0.0,0.06466666666666666,0.0
150,online,7,0.086,0.4786291508277343,0.08334290663749089,0.914,0.828,0.0,0.0,0.0,0.086,0.0
150,online,8,0.08,0.4766846639093707,0.08535558826489534,0.92,0.84,0.0,0.0,0.0,0.08,0.0
150,online,9,0.09266666666666666,0.4666490382888389,0.08303182912890848,0.9073333333333333,0.8146666666666667,0.0,0.0,0.0,0.09266666666666666,0.0
150,online,10,0.07066666666666667,0.4891772233277907,0.08674877700063764,0.9293333333333333,0.8586666666666667,0.0,0.0,0.0,0.07066666666666667,0.0
